axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi,backbone,probe,seed
calibration,0.75,canonicalized,0.89164,0.824762,0.061524,276,0.84989,0.929525,biot,mlp,11
calibration,0.75,naive,0.842381,0.715079,0.180869,276,0.793854,0.887091,biot,mlp,11
calibration,1,canonicalized,0.89164,0.824762,0.061524,276,0.84989,0.929525,biot,mlp,11
calibration,1,naive,0.86037,0.767302,0.113114,276,0.814069,0.903759,biot,mlp,11
calibration,1.5,canonicalized,0.89164,0.824762,0.061524,276,0.84989,0.929525,biot,mlp,11
calibration,1.5,naive,0.873122,0.765397,0.083922,276,0.830101,0.913984,biot,mlp,11
calibration,2,canonicalized,0.89164,0.824762,0.061524,276,0.84989,0.929525,biot,mlp,11
calibration,2,naive,0.86328,0.759048,0.147557,276,0.819187,0.905091,biot,mlp,11
montage,bipolar18,canonicalized,0.870265,0.778254,0.068209,276,0.828922,0.912496,biot,mlp,11
montage,bipolar18,naive,0.87,0.774286,0.063355,276,0.827978,0.913123,biot,mlp,11
montage,full19,canonicalized,0.89164,0.824762,0.061524,276,0.84989,0.929525,biot,mlp,11
montage,full19,naive,0.89164,0.824762,0.061524,276,0.84989,0.929525,biot,mlp,11
montage,legacy16,canonicalized,0.882698,0.616032,0.309511,276,0.84391,0.922704,biot,mlp,11
montage,legacy16,naive,0.888836,0.606032,0.311822,276,0.850364,0.926623,biot,mlp,11
power_line,0,canonicalized,0.89164,0.824762,0.061524,276,0.84989,0.929525,biot,mlp,11
power_line,0,naive,0.862698,0.710317,0.209269,276,0.816981,0.906615,biot,mlp,11
power_line,15,canonicalized,0.891534,0.824762,0.061708,276,0.849836,0.929421,biot,mlp,11
power_line,15,naive,0.631852,0.5,0.543289,276,0.567989,0.700598,biot,mlp,11
power_line,30,canonicalized,0.891587,0.824762,0.061876,276,0.849733,0.929525,biot,mlp,11
power_line,30,naive,0.645079,0.5,0.543431,276,0.581778,0.715097,biot,mlp,11
power_line,5,canonicalized,0.891534,0.824762,0.061601,276,0.849888,0.929315,biot,mlp,11
power_line,5,naive,0.665132,0.5,0.540129,276,0.602169,0.731114,biot,mlp,11
power_line,60,canonicalized,0.891323,0.824762,0.062368,276,0.849786,0.929216,biot,mlp,11
power_line,60,naive,0.625979,0.5,0.543461,276,0.560041,0.699909,biot,mlp,11
sampling_rate,128,canonicalized,0.691905,0.502698,0.462809,276,0.63063,0.750954,biot,mlp,11
sampling_rate,128,naive,0.552857,0.527937,0.332246,276,0.486095,0.617462,biot,mlp,11
sampling_rate,200,canonicalized,0.887619,0.803968,0.084398,276,0.84507,0.926353,biot,mlp,11
sampling_rate,200,naive,0.849735,0.769524,0.083056,276,0.800471,0.894343,biot,mlp,11
sampling_rate,250,canonicalized,0.89164,0.824762,0.061524,276,0.84989,0.929525,biot,mlp,11
sampling_rate,250,naive,0.89164,0.824762,0.061524,276,0.84989,0.929525,biot,mlp,11
sampling_rate,256,canonicalized,0.891587,0.820794,0.057894,276,0.849946,0.929577,biot,mlp,11
sampling_rate,256,naive,0.893069,0.819206,0.102582,276,0.84941,0.93102,biot,mlp,11
sampling_rate,512,canonicalized,0.89164,0.824762,0.061298,276,0.849946,0.929577,biot,mlp,11
sampling_rate,512,naive,0.401481,0.5,0.536574,276,0.334071,0.461481,biot,mlp,11
broadband,-5,canonicalized,0.670423,0.526667,0.158254,276,0.604496,0.731119,biot,mlp,13
broadband,-5,naive,0.670423,0.526667,0.158254,276,0.604496,0.731119,biot,mlp,13
broadband,0,canonicalized,0.798254,0.586032,0.192354,276,0.744757,0.845933,biot,mlp,13
broadband,0,naive,0.798254,0.586032,0.192354,276,0.744757,0.845933,biot,mlp,13
broadband,10,canonicalized,0.858995,0.733333,0.149702,276,0.813118,0.900546,biot,mlp,13
broadband,10,naive,0.858995,0.733333,0.149702,276,0.813118,0.900546,biot,mlp,13
broadband,20,canonicalized,0.862646,0.792381,0.069755,276,0.818649,0.901537,biot,mlp,13
broadband,20,naive,0.862646,0.792381,0.069755,276,0.818649,0.901537,biot,mlp,13
broadband,5,canonicalized,0.823439,0.676984,0.16441,276,0.775746,0.867676,biot,mlp,13
broadband,5,naive,0.823439,0.676984,0.16441,276,0.775746,0.867676,biot,mlp,13
calibration,0.5,canonicalized,0.901323,0.822857,0.056995,276,0.860787,0.93789,biot,mlp,13
calibration,0.5,naive,0.837831,0.651587,0.312046,276,0.791187,0.88461,biot,mlp,13
calibration,0.75,canonicalized,0.901323,0.822857,0.056995,276,0.860787,0.93789,biot,mlp,13
calibration,0.75,naive,0.844074,0.714444,0.184802,276,0.796824,0.886306,biot,mlp,13
calibration,1,canonicalized,0.901323,0.822857,0.056995,276,0.860787,0.93789,biot,mlp,13
calibration,1,naive,0.859206,0.751429,0.119299,276,0.812041,0.902763,biot,mlp,13
calibration,1.5,canonicalized,0.901323,0.822857,0.056995,276,0.860787,0.93789,biot,mlp,13
calibration,1.5,naive,0.881058,0.799365,0.075693,276,0.839517,0.920644,biot,mlp,13
calibration,2,canonicalized,0.901323,0.822857,0.056995,276,0.860787,0.93789,biot,mlp,13
calibration,2,naive,0.857619,0.765714,0.164883,276,0.813845,0.899976,biot,mlp,13
montage,bipolar18,canonicalized,0.886614,0.789206,0.067571,276,0.847128,0.925835,biot,mlp,13
montage,bipolar18,naive,0.886032,0.800476,0.048883,276,0.846655,0.925507,biot,mlp,13
montage,full19,canonicalized,0.901323,0.822857,0.056995,276,0.860787,0.93789,biot,mlp,13
montage,full19,naive,0.901323,0.822857,0.056995,276,0.860787,0.93789,biot,mlp,13
montage,legacy16,canonicalized,0.850582,0.592063,0.379893,276,0.805235,0.894922,biot,mlp,13
montage,legacy16,naive,0.85619,0.582063,0.385705,276,0.811499,0.898468,biot,mlp,13
power_line,0,canonicalized,0.901323,0.822857,0.056995,276,0.860787,0.93789,biot,mlp,13
power_line,0,naive,0.869101,0.730317,0.201773,276,0.823754,0.912288,biot,mlp,13
power_line,15,canonicalized,0.901376,0.822857,0.05707,276,0.860741,0.93821,biot,mlp,13
power_line,15,naive,0.633069,0.5,0.543458,276,0.568934,0.701483,biot,mlp,13
