axis,severity,arm,identity,d_auroc,tv_marginal,tv_marginal_hist,tv_pos,tv_neg,cc_bound,pinsker_cc,implied_C,cc_holds
calibration,0.5,naive,False,0.012910052910052983,0.09622075395741965,0.13405797101449277,0.12425067954620647,0.1095862330753295,0.23383691262153597,0.3010375396942698,0.1341711884295361,True
calibration,0.75,canonicalized,False,0.0,5.254282376023587e-07,0.0,1.0738267122041096e-06,8.29556531521515e-07,1.9033832437256247e-06,2.5342727008836045e-06,0.0,True
calibration,0.75,naive,False,0.010423280423280445,0.07889573046280556,0.12318840579710144,0.10277385438877099,0.08131233580926647,0.18408619019803746,0.23995430037358928,0.13211463233988785,True
calibration,1.0,canonicalized,True,0.0,1.3079089419619627e-07,0.0,2.1667427169166792e-07,8.696824556843549e-08,3.036425172601034e-07,4.4267323247557893e-07,0.0,True
calibration,1.0,naive,False,0.007830687830687744,0.070823597083033,0.13405797101449274,0.09252359377495403,0.06832898705680772,0.16085258083176174,0.21139386788946368,0.11056608465547309,True
calibration,1.5,canonicalized,False,0.0,5.254282376023587e-07,0.0,1.0738267122041096e-06,8.29556531521515e-07,1.9033832437256247e-06,2.5342727008836045e-06,0.0,True
calibration,1.5,naive,False,0.0068253968253968456,0.0628245204265926,0.13768115942028986,0.08219001008376192,0.056611897189416144,0.13880190727317807,0.18422107372519259,0.1086422431727432,True
calibration,2.0,canonicalized,False,0.0,1.3079089419619627e-07,0.0,2.1667427169166792e-07,8.696824556843549e-08,3.036425172601034e-07,4.4267323247557893e-07,0.0,True
calibration,2.0,naive,False,0.006613756613756738,0.058887102253600374,0.14130434782608697,0.07707226799295952,0.0514359067648526,0.12850817475781212,0.17141588246024525,0.11231248203170621,True
montage,bipolar18,canonicalized,False,0.0036507936507936822,0.1952556770057953,0.37318840579710144,0.1722656537087687,0.47119753580205526,0.6434631895108239,0.8306594392063226,0.01869750322642514,True
montage,bipolar18,naive,False,0.004338624338624308,0.19046611879885128,0.3586956521739131,0.16402721811425647,0.4687117224479168,0.6327389405621733,0.8108068676331406,0.02277898224621394,True
montage,full19,canonicalized,True,0.0,1.3079089419619627e-07,0.0,2.1667427169166792e-07,8.696824556843549e-08,3.036425172601034e-07,4.4267323247557893e-07,0.0,True
montage,full19,naive,True,0.0,1.3079089419619627e-07,0.0,2.1667427169166792e-07,8.696824556843549e-08,3.036425172601034e-07,4.4267323247557893e-07,0.0,True
montage,legacy16,canonicalized,False,0.052328042328042335,0.35729427290302074,0.5398550724637682,0.26605384643865637,0.7208329565469691,0.9868868029856255,1.43439905357044,0.14645642624740748,True
montage,legacy16,naive,False,0.05201058201058195,0.37898928355703876,0.5543478260869565,0.28999429956460687,0.7443713030091499,1.0343656025737569,1.514284035891411,0.13723496749679,True
power_line,0.0,canonicalized,True,0.0,1.3079089419619627e-07,0.0,2.1667427169166792e-07,8.696824556843549e-08,3.036425172601034e-07,4.4267323247557893e-07,0.0,True
power_line,0.0,naive,False,0.009894179894179955,0.015880698239155756,0.0652173913043478,0.02116194057104232,0.010915374894959133,0.032077315466001455,0.042082310161826585,0.623031792757366,True
power_line,15.0,canonicalized,False,0.00037037037037035425,0.00016453811603020464,0.007246376811594203,0.00032343393102285254,0.0002128695233538626,0.0005363034543767152,0.0007761580193627658,2.250970044548003,True
power_line,15.0,naive,False,0.0826984126984126,0.42078019100191044,0.5507246376811595,0.46295075222587784,0.6583423459157535,1.1212930981416314,1.534777289054808,0.1965358979981953,True
power_line,30.0,canonicalized,False,5.291005291008233e-05,0.0007770796426446372,0.0108695652173913,0.001077727961911731,0.0003136925960380442,0.0013914205579497751,0.0019134933454394397,0.06808832712437737,True
power_line,30.0,naive,False,0.09126984126984139,0.633619075478082,0.7318840579710145,0.6859557408487911,0.8567244672006131,1.5426802080494042,2.3416218173259518,0.14404528651694384,True
power_line,5.0,canonicalized,False,0.00010582010582016466,7.192297653419667e-05,0.0036231884057971,5.8550754606163546e-05,0.00016965395210362643,0.00022820470670978997,0.00030347089176239637,1.4712976425530884,True
power_line,5.0,naive,False,0.02962962962962956,0.1065433781963576,0.1702898550724638,0.13430918768372646,0.1565858296476732,0.29089501733139966,0.36192821846676854,0.27809921302685436,True
power_line,60.0,canonicalized,False,0.0003703703703704653,0.001752858927407843,0.0217391304347826,0.0025079503247367125,0.0003076273725502336,0.002815577697286946,0.003697603027785911,0.21129502470468353,True
